time,X_value,Y_value,Z_value
6.114,-0.53651,-0.28447,9.78783
6.153,-0.53606,-0.28492,9.78784
6.194,-0.53630,-0.28551,9.78781
6.235,-0.53607,-0.28579,9.78782
6.274,-0.53587,-0.28565,9.78783
6.314,-0.53559,-0.28545,9.78785
6.354,-0.53534,-0.28564,9.78786
6.394,-0.53471,-0.28557,9.78790
6.434,-0.53488,-0.28564,9.78789
6.474,-0.53578,-0.28606,9.78782
6.514,-0.53572,-0.28596,9.78783
6.554,-0.53567,-0.28588,9.78784
6.594,-0.53575,-0.28535,9.78785
6.635,-0.53610,-0.28550,9.78782
6.676,-0.53641,-0.28563,9.78780
6.715,-0.53679,-0.28544,9.78779
6.755,-0.53713,-0.28526,9.78777
6.795,-0.53655,-0.28487,9.78782
6.835,-0.53651,-0.28493,9.78782
6.875,-0.53683,-0.28499,9.78780
6.915,-0.53708,-0.28607,9.78775
6.955,-0.53729,-0.28668,9.78772
6.995,-0.53672,-0.28723,9.78774
7.035,-0.53748,-0.28769,9.78768
7.076,-0.53777,-0.28811,9.78765
7.115,-0.53747,-0.28743,9.78769
7.156,-0.53720,-0.28682,9.78772
7.196,-0.53598,-0.28669,9.78779
7.236,-0.53490,-0.28657,9.78786
7.275,-0.53355,-0.28736,9.78791
7.316,-0.53296,-0.28781,9.78793
7.356,-0.53281,-0.28820,9.78792
7.396,-0.53311,-0.28809,9.78791
7.436,-0.53301,-0.28761,9.78793
7.477,-0.53235,-0.28830,9.78795
7.516,-0.53236,-0.28771,9.78796
7.556,-0.53238,-0.28755,9.78796
7.596,-0.53211,-0.28671,9.78800
7.636,-0.53224,-0.28633,9.78801
7.676,-0.53217,-0.28776,9.78797
7.716,-0.53246,-0.28813,9.78794
7.756,-0.53308,-0.28809,9.78791
7.796,-0.53306,-0.28823,9.78791
7.836,-0.53341,-0.28836,9.78789
7.876,-0.53340,-0.28699,9.78793
7.916,-0.53397,-0.28598,9.78792
7.957,-0.53448,-0.28508,9.78792
7.997,-0.53531,-0.28493,9.78788
8.037,-0.53605,-0.28480,9.78785
8.077,-0.53605,-0.28464,9.78785
8.117,-0.53634,-0.28486,9.78783
