time,X_value,Y_value,Z_value
6.118,-0.52300,-0.28849,9.78844
6.159,-0.52303,-0.28893,9.78843
6.201,-0.52304,-0.28934,9.78842
6.239,-0.52395,-0.28868,9.78839
6.282,-0.52364,-0.28801,9.78842
6.318,-0.52337,-0.28741,9.78846
6.359,-0.52346,-0.28778,9.78844
6.398,-0.52354,-0.28811,9.78843
6.439,-0.52342,-0.28837,9.78842
6.478,-0.52387,-0.28752,9.78843
6.519,-0.52426,-0.28679,9.78843
6.559,-0.52408,-0.28700,9.78843
6.600,-0.52392,-0.28684,9.78844
6.639,-0.52414,-0.28684,9.78843
6.681,-0.52414,-0.28770,9.78841
6.719,-0.52414,-0.28884,9.78837
6.759,-0.52431,-0.28864,9.78837
6.800,-0.52444,-0.28847,9.78837
6.840,-0.52424,-0.28908,9.78836
6.880,-0.52529,-0.28900,9.78831
6.920,-0.52584,-0.28894,9.78828
6.960,-0.52623,-0.28884,9.78826
7.001,-0.52621,-0.28876,9.78826
7.039,-0.52579,-0.28891,9.78828
7.082,-0.52540,-0.28898,9.78830
7.121,-0.52505,-0.28905,9.78832
7.159,-0.52578,-0.28889,9.78828
7.199,-0.52644,-0.28874,9.78825
7.240,-0.52693,-0.28788,9.78825
7.280,-0.52700,-0.28748,9.78826
7.323,-0.52742,-0.28712,9.78825
7.361,-0.52727,-0.28698,9.78826
7.404,-0.52751,-0.28722,9.78824
7.441,-0.52700,-0.28745,9.78826
7.482,-0.52766,-0.28728,9.78823
7.520,-0.52826,-0.28710,9.78820
7.560,-0.52787,-0.28677,9.78823
7.600,-0.52788,-0.28650,9.78824
7.641,-0.52718,-0.28655,9.78828
7.682,-0.52668,-0.28632,9.78831
7.724,-0.52622,-0.28650,9.78833
7.761,-0.52568,-0.28725,9.78834
7.802,-0.52556,-0.28829,9.78831
7.841,-0.52496,-0.28819,9.78835
7.881,-0.52408,-0.28808,9.78840
7.921,-0.52310,-0.28749,9.78847
7.962,-0.52323,-0.28738,9.78846
8.002,-0.52333,-0.28765,9.78845
8.042,-0.52326,-0.28811,9.78844
8.082,-0.52319,-0.28851,9.78843
8.123,-0.52415,-0.28858,9.78838
8.161,-0.52421,-0.28876,9.78837
8.201,-0.52390,-0.28890,9.78838
8.241,-0.52418,-0.28856,9.78838
8.282,-0.52442,-0.28828,9.78837
8.322,-0.52480,-0.28838,9.78835
8.362,-0.52450,-0.28825,9.78837
8.403,-0.52423,-0.28815,9.78839
8.442,-0.52418,-0.28766,9.78841
8.484,-0.52449,-0.28725,9.78840
8.523,-0.52436,-0.28732,9.78841
8.562,-0.52280,-0.28689,9.78850
8.603,-0.52141,-0.28613,9.78860
8.642,-0.52153,-0.28659,9.78858
8.683,-0.52164,-0.28700,9.78856
8.722,-0.52136,-0.28740,9.78856
8.763,-0.52168,-0.28737,9.78855
8.802,-0.52158,-0.28738,9.78855
8.844,-0.52137,-0.28729,9.78857
8.882,-0.52082,-0.28721,9.78860
8.923,-0.52153,-0.28751,9.78855
8.963,-0.52218,-0.28830,9.78849
9.003,-0.52240,-0.28901,9.78846
9.044,-0.52188,-0.28806,9.78852
9.084,-0.52178,-0.28724,9.78855
9.127,-0.52290,-0.28663,9.78850
9.163,-0.52296,-0.28616,9.78851
9.203,-0.52337,-0.28577,9.78850
9.243,-0.52350,-0.28565,9.78850
9.285,-0.52363,-0.28590,9.78849
9.324,-0.52396,-0.28677,9.78844
9.364,-0.52350,-0.28727,9.78845
9.404,-0.52272,-0.28771,9.78848
9.444,-0.52345,-0.28858,9.78842
9.484,-0.52408,-0.28901,9.78837
9.524,-0.52450,-0.28919,9.78834
9.564,-0.52484,-0.28827,9.78835
9.605,-0.52514,-0.28745,9.78836
9.644,-0.52484,-0.28807,9.78836
9.684,-0.52457,-0.28862,9.78836
9.725,-0.52406,-0.28842,9.78839
9.765,-0.52338,-0.28858,9.78842
9.805,-0.52276,-0.28835,9.78846
9.846,-0.52252,-0.28826,9.78848
9.886,-0.52230,-0.28855,9.78848
9.925,-0.52283,-0.28826,9.78846
9.965,-0.52219,-0.28863,9.78848
10.005,-0.52198,-0.28933,9.78847
10.045,-0.52370,-0.28908,9.78839
10.084,-0.52522,-0.28848,9.78832
10.126,-0.52471,-0.28824,9.78836
10.166,-0.52511,-0.28771,9.78835
10.205,-0.52547,-0.28762,9.78834
10.245,-0.52524,-0.28811,9.78833
10.290,-0.52541,-0.28855,9.78831
10.326,-0.52552,-0.28835,9.78831
10.365,-0.52572,-0.28741,9.78833
10.406,-0.52552,-0.28658,9.78837
10.446,-0.52530,-0.28655,9.78838
10.485,-0.52509,-0.28652,9.78839
10.526,-0.52421,-0.28651,9.78844
10.567,-0.52380,-0.28685,9.78845
10.607,-0.52383,-0.28633,9.78846
10.646,-0.52460,-0.28619,9.78843
10.686,-0.52528,-0.28644,9.78838
10.727,-0.52504,-0.28583,9.78841
10.766,-0.52447,-0.28527,9.78846
10.807,-0.52428,-0.28625,9.78844
10.846,-0.52399,-0.28635,9.78845
10.887,-0.52374,-0.28644,9.78846
10.927,-0.52329,-0.28660,9.78848
10.967,-0.52290,-0.28638,9.78851
11.007,-0.52322,-0.28603,9.78850
11.047,-0.52339,-0.28638,9.78849
11.090,-0.52318,-0.28629,9.78850
11.126,-0.52235,-0.28614,9.78855
11.167,-0.52196,-0.28639,9.78856
11.207,-0.52136,-0.28646,9.78859
11.247,-0.52139,-0.28591,9.78861
11.288,-0.52141,-0.28542,9.78862
11.328,-0.52124,-0.28551,9.78862
11.367,-0.52146,-0.28558,9.78861
11.408,-0.52069,-0.28589,9.78864
11.447,-0.52104,-0.28690,9.78859
11.496,-0.52099,-0.28780,9.78857
11.528,-0.52084,-0.28765,9.78858
11.570,-0.52070,-0.28751,9.78860
11.608,-0.52047,-0.28736,9.78861
11.649,-0.52168,-0.28754,9.78854
11.689,-0.52275,-0.28770,9.78848
11.729,-0.52176,-0.28692,9.78856
11.768,-0.52087,-0.28624,9.78862
11.808,-0.52002,-0.28695,9.78865
11.848,-0.52026,-0.28697,9.78864
11.891,-0.52083,-0.28698,9.78860
11.929,-0.52079,-0.28737,9.78859
11.970,-0.52075,-0.28772,9.78859
12.008,-0.52026,-0.28798,9.78860
12.048,-0.52014,-0.28822,9.78860
12.089,-0.52003,-0.28806,9.78861
12.129,-0.52042,-0.28753,9.78861
12.169,-0.52077,-0.28705,9.78860
12.209,-0.51986,-0.28635,9.78867
12.250,-0.51973,-0.28630,9.78868
12.296,-0.51961,-0.28662,9.78868
12.329,-0.52008,-0.28686,9.78865
12.369,-0.52050,-0.28705,9.78862
12.409,-0.52076,-0.28782,9.78858
12.449,-0.52002,-0.28766,9.78863
12.489,-0.51936,-0.28788,9.78866
12.530,-0.51927,-0.28752,9.78867
12.569,-0.51919,-0.28720,9.78868
12.610,-0.51970,-0.28723,9.78866
12.650,-0.51930,-0.28668,9.78869
12.697,-0.51894,-0.28619,9.78873
12.731,-0.51887,-0.28633,9.78873
12.770,-0.51844,-0.28682,9.78874
12.810,-0.51879,-0.28618,9.78874
12.850,-0.51765,-0.28540,9.78882
12.890,-0.51701,-0.28508,9.78886
12.931,-0.51673,-0.28539,9.78887
12.971,-0.51648,-0.28567,9.78887
13.010,-0.51682,-0.28639,9.78883
13.051,-0.51713,-0.28704,9.78880
13.097,-0.51806,-0.28628,9.78877
13.131,-0.51960,-0.28561,9.78871
13.170,-0.52060,-0.28500,9.78867
13.210,-0.51988,-0.28456,9.78873
13.250,-0.51960,-0.28417,9.78875
13.291,-0.52160,-0.28536,9.78861
13.331,-0.52124,-0.28584,9.78862
13.371,-0.52094,-0.28626,9.78862
13.411,-0.52102,-0.28669,9.78860
13.454,-0.52146,-0.28708,9.78857
13.492,-0.52141,-0.28729,9.78856
13.531,-0.52135,-0.28767,9.78856
13.571,-0.52130,-0.28800,9.78855
13.611,-0.52142,-0.28772,9.78855
13.651,-0.52117,-0.28748,9.78857
13.694,-0.52058,-0.28756,9.78860
13.731,-0.52149,-0.28796,9.78854
13.772,-0.52229,-0.28834,9.78849
13.812,-0.52228,-0.28824,9.78849
13.852,-0.52225,-0.28817,9.78849
