time,X_value,Y_value,Z_value
71.774,-0.04535,0.03974,9.80647
73.787,-0.04523,0.03974,9.80647
73.828,-0.04504,0.03980,9.80647
74.264,-0.04494,0.03976,9.80647
74.684,-0.04475,0.03969,9.80647
74.753,-0.04468,0.03976,9.80647
74.772,-0.04455,0.03994,9.80647
76.256,-0.04455,0.04002,9.80647
76.457,-0.04446,0.04008,9.80647
77.557,-0.04447,0.04017,9.80647
77.767,-0.04456,0.04034,9.80647
77.863,-0.04465,0.04038,9.80647
81.227,-0.04467,0.04050,9.80647
82.087,-0.04458,0.04047,9.80647
82.105,-0.04434,0.04042,9.80647
82.367,-0.04428,0.04035,9.80647
82.397,-0.04414,0.04019,9.80647
82.637,-0.04421,0.04026,9.80647
83.117,-0.04430,0.04042,9.80647
83.777,-0.04419,0.04040,9.80647
84.449,-0.04415,0.04049,9.80647
84.477,-0.04412,0.04057,9.80647
84.507,-0.04412,0.04079,9.80647
85.836,-0.04410,0.04088,9.80647
86.128,-0.04400,0.04091,9.80647
86.149,-0.04376,0.04101,9.80647
86.164,-0.04354,0.04113,9.80647
86.557,-0.04354,0.04123,9.80647
86.595,-0.04354,0.04133,9.80647
86.615,-0.04346,0.04158,9.80647
86.642,-0.04332,0.04177,9.80647
87.166,-0.04324,0.04170,9.80647
87.347,-0.04324,0.04180,9.80647
88.617,-0.04330,0.04189,9.80647
88.646,-0.04337,0.04198,9.80647
88.667,-0.04355,0.04211,9.80646
88.786,-0.04373,0.04221,9.80646
89.129,-0.04383,0.04222,9.80646
89.156,-0.04403,0.04222,9.80646
89.193,-0.04413,0.04222,9.80646
89.213,-0.04425,0.04222,9.80646
89.232,-0.04434,0.04219,9.80646
89.252,-0.04434,0.04219,9.80646
89.273,-0.04434,0.04219,9.80646
89.293,-0.04434,0.04219,9.80646
89.313,-0.04434,0.04219,9.80646
89.333,-0.04434,0.04219,9.80646
89.360,-0.04434,0.04219,9.80646
89.382,-0.04434,0.04219,9.80646
89.393,-0.04434,0.04219,9.80646
89.415,-0.04434,0.04219,9.80646
89.433,-0.04434,0.04219,9.80646
89.456,-0.04434,0.04219,9.80646
89.475,-0.04434,0.04219,9.80646
89.493,-0.04434,0.04219,9.80646
89.513,-0.04434,0.04219,9.80646
89.533,-0.04434,0.04219,9.80646
89.556,-0.04434,0.04219,9.80646
89.574,-0.04434,0.04219,9.80646
89.593,-0.04434,0.04219,9.80646
89.613,-0.04434,0.04219,9.80646
89.632,-0.04434,0.04219,9.80646
89.654,-0.04434,0.04219,9.80646
89.673,-0.04434,0.04219,9.80646
89.693,-0.04434,0.04219,9.80646
89.713,-0.04434,0.04219,9.80646
89.733,-0.04434,0.04219,9.80646
89.756,-0.04434,0.04219,9.80646
89.773,-0.04434,0.04219,9.80646
89.793,-0.04434,0.04219,9.80646
89.813,-0.04434,0.04219,9.80646
89.832,-0.04434,0.04219,9.80646
89.858,-0.04434,0.04219,9.80646
89.872,-0.04434,0.04219,9.80646
89.893,-0.04434,0.04219,9.80646
89.913,-0.04434,0.04219,9.80646
89.932,-0.04434,0.04219,9.80646
89.957,-0.04434,0.04219,9.80646
89.975,-0.04434,0.04219,9.80646
89.992,-0.04434,0.04219,9.80646
90.013,-0.04434,0.04219,9.80646
90.032,-0.04434,0.04219,9.80646
90.058,-0.04434,0.04219,9.80646
90.074,-0.04434,0.04219,9.80646
90.093,-0.04434,0.04219,9.80646
90.113,-0.04434,0.04219,9.80646
90.133,-0.04434,0.04219,9.80646
90.157,-0.04434,0.04219,9.80646
90.175,-0.04434,0.04219,9.80646
90.193,-0.04434,0.04219,9.80646
90.213,-0.04434,0.04219,9.80646
90.232,-0.04434,0.04219,9.80646
90.262,-0.04434,0.04219,9.80646
