time,X_value,Y_value,Z_value
11.237,22.97821,4.95911,11.45172
11.303,23.69232,4.95453,11.44714
11.371,24.22791,4.90723,13.51013
11.438,23.35663,5.54199,12.04987
11.505,23.19031,5.84717,11.76147
11.572,23.18115,5.22614,12.93182
11.640,23.50311,4.33044,12.91351
11.707,24.42017,5.81970,12.64038
11.774,23.52753,5.54657,11.75385
11.841,23.19031,5.84717,11.76147
11.909,23.69232,4.95453,11.44714
11.976,23.72742,5.82428,12.64496
12.042,23.88458,5.54352,11.75232
12.109,23.70911,5.55115,11.45782
12.176,23.72131,5.83649,12.05444
12.244,23.15979,4.64325,12.33063
12.311,24.05701,5.22614,12.63123
12.378,23.69232,4.63257,12.62207
12.445,23.70911,5.55115,11.45782
12.512,23.51532,4.93774,12.33368
12.579,23.88458,5.54352,11.75232
12.647,23.49854,4.34113,12.32300
12.714,23.68927,4.64325,12.03308
12.780,23.90594,5.80597,13.52997
12.848,23.89374,5.84259,11.75690
12.915,24.07227,5.49927,13.81683
12.982,23.71368,5.21698,13.22479
13.049,23.53210,5.21240,13.52081
13.116,23.90137,5.81818,12.93793
13.183,24.60327,6.11115,12.93945
13.251,24.06006,5.53589,12.04681
13.318,23.18115,5.54810,11.75690
13.384,23.90594,5.80597,13.52997
13.452,23.89374,5.84259,11.75690
13.519,23.74268,6.42242,12.65564
13.587,22.98737,4.93622,12.63275
13.654,23.53668,5.84412,11.75995
13.721,23.88458,5.54352,11.75232
13.788,23.52448,5.55725,11.16486
13.856,23.18573,5.53741,12.34589
13.922,24.06921,5.51147,13.22784
13.990,24.42017,5.81970,12.64038
14.057,23.71368,5.53894,12.04834
14.124,24.25232,5.80292,13.52692
14.190,23.35205,5.55420,11.46088
14.258,23.73810,6.11115,13.24005
14.325,24.77417,5.79224,13.81989
14.392,23.89374,5.84259,11.75690
14.459,24.08142,6.12030,12.64801
14.526,24.78790,6.72455,12.06360
14.594,23.72131,5.51453,13.22937
14.661,24.23248,5.54047,11.75079
14.727,24.07837,6.13251,12.05750
14.794,23.73047,5.81360,13.23395
14.863,24.08142,6.12030,12.64801
14.929,24.42017,5.49774,13.81531
14.996,24.43237,6.10657,13.23700
15.063,24.06921,5.51147,13.22784
15.130,23.88458,5.54352,11.75232
15.264,24.09821,6.39496,13.83362
15.332,24.04785,5.25055,11.45020
15.399,23.52448,5.55725,11.16486
15.466,23.88458,5.54352,11.75232
15.534,23.19031,5.84717,11.76147
15.600,23.34900,5.24445,12.04529
15.667,23.69232,4.95453,11.44714
15.735,24.04022,4.95148,11.44562
15.803,23.53210,5.53436,12.34436
15.869,24.26605,6.73370,11.77063
15.936,23.54126,5.50995,13.52539
16.003,24.43695,6.09436,13.82599
16.070,23.88458,5.86548,10.57739
16.138,24.26147,6.42242,12.35657
16.204,23.19336,5.83496,12.35199
16.272,22.80731,4.63257,12.92267
16.339,24.44153,6.40411,13.24158
16.407,23.36426,5.19562,14.40582
16.473,23.34900,5.24445,12.04529
16.541,23.87238,4.93469,12.33215
16.608,23.52753,5.54657,11.75385
16.675,23.34442,5.57709,10.27985
16.742,24.06921,5.83344,12.05292
16.809,23.90137,5.81818,12.93793
16.876,23.71826,5.84869,11.46393
16.944,24.41254,5.84412,11.45935
17.011,23.90137,6.14014,11.76300
17.078,23.35663,5.54199,12.04987
17.145,24.06464,5.84564,11.46088
17.212,24.25690,6.11267,12.94098
17.279,23.56110,6.09436,14.12659
17.346,23.52753,5.54657,11.75385
17.413,22.45026,5.28107,10.57434
17.480,24.23553,5.20630,13.51624
17.548,23.88153,5.55573,11.16180
17.614,23.51074,4.62799,12.91962
17.681,23.35663,5.22003,13.22632
17.750,24.42932,5.79529,13.82141
17.816,24.24469,5.50537,13.52081
17.883,22.97516,4.97131,10.86121
17.950,24.61243,6.08673,14.12048
18.018,23.35205,5.23224,12.63580
18.085,23.72131,5.83649,12.05444
18.151,23.86780,4.94690,11.74164
18.219,23.72742,5.82428,12.64496
18.286,23.88458,5.54352,11.75232
18.352,24.08142,5.79834,13.82294
18.420,23.72131,5.51453,13.22937
18.489,23.53668,5.84412,11.75995
18.554,23.71368,5.21698,13.22479
18.621,23.70148,5.25360,11.45172
18.689,23.71826,5.84869,11.46393
18.756,23.52448,5.55725,11.16486
18.824,23.72131,5.83649,12.05444
18.891,24.24927,6.45905,10.58502
18.957,23.69232,4.95453,11.44714
19.024,23.87238,5.25665,11.15570
19.092,23.71368,5.53894,12.04834
19.159,24.61243,6.08673,14.12048
19.226,24.05701,5.54810,11.45630
19.293,23.35663,5.22003,13.22632
19.361,24.07837,6.13251,12.05750
19.427,23.73047,6.13556,12.05902
19.495,23.88916,5.53131,12.34283
19.562,23.73505,5.80139,13.82599
19.629,24.05701,5.54810,11.45630
19.696,24.06006,5.53589,12.04681
19.763,23.72742,5.50232,13.81989
19.830,24.07227,5.49927,13.81683
19.897,24.06921,5.83344,12.05292
19.965,24.39423,4.92554,12.62360
20.032,24.95270,5.81055,12.93182
20.099,23.15521,4.65546,11.74011
20.166,24.40796,5.21088,13.21869
20.234,24.74213,5.24445,11.44562
20.300,24.41254,5.52216,12.63428
20.367,23.90594,5.80597,13.52997
20.435,24.23248,4.89655,14.10065
20.502,23.70911,5.22919,12.63275
20.569,23.88916,5.85327,11.16791
20.636,23.71368,5.86090,10.87341
20.703,24.93591,5.53436,11.74622
20.770,24.60022,6.12335,12.34894
20.838,24.41559,5.50995,13.22479
20.905,24.08142,5.79834,13.82294
20.972,24.24927,5.81512,12.93640
