time,X_value,Y_value,Z_value
11.323,24.76654,5.81665,12.63885
11.390,23.35663,5.54199,12.04987
11.457,23.71368,5.53894,12.04834
11.525,23.14453,3.72314,13.49487
11.591,24.42017,5.81970,12.64038
11.659,24.25690,6.43463,11.76605
11.726,23.52448,5.55725,11.16486
11.794,23.88916,5.53131,12.34283
11.861,24.24927,5.81512,12.93640
11.996,23.72131,5.51453,13.22937
12.062,24.06464,5.84564,11.46088
12.129,24.60022,5.79987,13.52386
12.196,24.21875,4.93164,12.32910
12.263,23.32306,4.34875,12.03003
12.330,23.90137,6.14014,11.76300
12.398,24.60022,6.12335,12.34894
12.465,24.06464,5.84564,11.46088
12.532,24.21875,4.60968,13.50555
12.599,24.61243,6.40869,12.94556
12.667,24.06006,5.21393,13.22174
12.733,24.42932,5.79529,13.82141
12.800,24.40338,5.54657,11.45477
12.868,23.85559,4.66156,11.14502
12.935,24.40796,5.21088,13.21869
13.003,23.72131,5.83649,12.05444
13.069,24.75891,5.51910,12.63275
13.136,23.15979,4.64325,12.33063
13.203,23.89374,5.84259,11.75690
13.270,24.07837,6.13251,12.05750
13.337,24.24011,5.83954,11.75537
13.404,24.03107,4.33044,12.61597
13.472,24.58649,5.83649,11.75385
13.539,24.40338,5.54657,11.45477
13.605,23.71368,4.89502,14.39972
13.673,24.60022,6.12335,12.34894
13.741,24.26605,6.41022,12.94708
13.807,24.40338,4.90112,13.80463
13.874,24.60022,5.15594,15.87524
13.942,24.25690,6.11267,12.94098
14.008,23.70911,4.90723,13.80920
14.076,23.53210,5.53436,12.34436
14.143,24.40338,5.54657,11.45477
14.210,24.41559,5.50995,13.22479
14.277,24.38660,4.62646,12.61902
14.345,24.24011,5.83954,11.75537
14.411,24.19434,4.03748,12.31384
14.479,24.76349,5.50690,13.22327
14.547,23.70148,5.25360,11.45172
14.613,24.02344,4.03290,12.60986
14.680,24.57886,5.53741,11.74774
14.747,24.05243,4.91638,13.21564
14.815,24.04785,4.92859,12.62665
14.882,24.75433,5.20935,13.21716
14.949,24.01886,4.04510,12.01935
15.016,23.32764,4.33655,12.61902
15.083,24.58344,5.20325,13.51471
15.150,22.81952,5.56335,11.16791
15.217,24.06921,5.51147,13.22784
15.285,24.03564,4.64172,12.03003
15.352,23.87238,4.93469,12.33215
15.419,23.52753,5.54657,11.75385
15.486,24.24469,5.50537,13.52081
15.553,23.51074,4.62799,12.91962
15.620,23.48175,4.06647,11.13739
15.688,24.06006,5.21393,13.22174
15.755,23.48175,4.38995,9.96094
